month,usd_idr_avg
2010-01,9275.357142857143
2010-02,9336.725
2010-03,9166.804347826086
2010-04,9027.818181818182
2010-05,9167.333333333334
2010-06,9137.431818181818
2010-07,9040.818181818182
2010-08,8971.977272727272
2010-09,8979.704545454546
2010-10,8927.857142857143
2010-11,8941.90909090909
2010-12,9022.58695652174
2011-01,9034.92857142857
2011-02,8916.7
2011-03,8759.347826086956
2011-04,8648.02380952381
2011-05,8558.045454545454
2011-06,8563.727272727272
2011-07,8529.238095238095
2011-08,8525.847826086956
2011-09,8724.75
2011-10,8864.47619047619
2011-11,8998.181818181818
2011-12,9053.068181818182
2012-01,9054.545454545454
2012-02,8997.619047619048
2012-03,9141.65909090909
2012-04,9162.90476190476
2012-05,9252.673913043478
2012-06,9405.833333333334
2012-07,9432.272727272728
2012-08,9492.217391304348
2012-09,9553.55
2012-10,9593.304347826086
2012-11,9617.363636363636
2012-12,9635.52380952381
2013-01,9651.934782608696
2013-02,9680.375
2013-03,9708.547619047618
2013-04,9722.613636363636
2013-05,9756.5
2013-06,9871.125
2013-07,10071.217391304348
2013-08,10532.5
2013-09,11327.261904761905
2013-10,11344.760869565218
2013-11,11610.833333333334
2013-12,12086.25
2014-01,12157.782608695652
2014-02,11917.7
2014-03,11416.40476190476
2014-04,11431.09090909091
2014-05,11535.795454545454
2014-06,11892.166666666666
2014-07,11660.282608695652
2014-08,11709.92857142857
2014-09,11897.727272727272
2014-10,12141.630434782608
2014-11,12166.825
2014-12,12431.217391304348
2015-01,12572.181818181818
2015-02,12760.675
2015-03,13066.90909090909
2015-04,12946.15909090909
2015-05,13132.02380952381
2015-06,13306.65909090909
2015-07,13375.217391304348
2015-08,13788.90476190476
2015-09,14409.90909090909
2015-10,13774.90909090909
2015-11,13676.09523809524
2015-12,13834.478260869566
2016-01,13886.309523809525
2016-02,13509.52380952381
2016-03,13197.217391304348
2016-04,13171.714285714286
2016-05,13416.727272727272
2016-06,13337.977272727272
2016-07,13114.333333333334
2016-08,13160.326086956522
2016-09,13109.84090909091
2016-10,13018.214285714286
2016-11,13314.363636363636
2016-12,13409.113636363636
2017-01,13365.863636363636
2017-02,13337.875
2017-03,13343.04347826087
2017-04,13301.4
2017-05,13322.173913043478
2017-06,13306.727272727272
2017-07,13346.40476190476
2017-08,13343.021739130434
2017-09,13307.547619047618
2017-10,13527.795454545454
2017-11,13527.545454545454
2017-12,13559.0
2018-01,13387.41304347826
2018-02,13601.175
2018-03,13759.772727272728
2018-04,13808.809523809525
2018-05,14036.934782608696
2018-06,14007.261904761905
2018-07,14408.613636363636
2018-08,14563.978260869566
2018-09,14868.075
2018-10,15175.565217391304
2018-11,14657.636363636364
2018-12,14498.92857142857
2019-01,14165.173913043478
2019-02,14029.025
2019-03,14204.07142857143
2019-04,14137.545454545454
2019-05,14375.869565217392
2019-06,14233.725
2019-07,14031.391304347826
2019-08,14232.0
2019-09,14100.357142857143
2019-10,14113.152173913044
2019-11,14061.02380952381
2019-12,14002.477272727272
2020-01,13721.478260869566
2020-02,13767.125
2020-03,15179.119047619048
2020-04,15710.59523809524
2020-05,14854.6875
2020-06,14105.357142857143
2020-07,14529.977272727272
2020-08,14649.166666666666
2020-09,14785.0
2020-10,14686.315789473683
2020-11,14184.047619047618
2020-12,14094.473684210529
2021-01,14016.604761904762
2021-02,14026.578947368422
2021-03,14378.863636363636
2021-04,14523.809523809525
2021-05,14314.411764705885
2021-06,14330.380952380952
2021-07,14491.333333333334
2021-08,14375.65
2021-09,14249.09090909091
2021-10,14177.55
2021-11,14262.636363636364
2021-12,14319.782608695652
2022-01,14335.190476190475
2022-02,14345.777777777776
2022-03,14344.818181818182
2022-04,14373.052631578948
2022-05,14616.466666666667
2022-06,14699.142857142857
2022-07,14977.0
2022-08,14839.09090909091
2022-09,14983.09090909091
2022-10,15433.42857142857
2022-11,15661.181818181818
2022-12,15597.363636363636
2023-01,15250.047619047618
2023-02,15129.65
2023-03,15272.619047619048
2023-04,14829.285714285714
2023-05,14823.772727272728
2023-06,14935.695454545454
2023-07,15032.809523809525
2023-08,15244.208695652173
2023-09,15360.047619047618
2023-10,15749.772727272728
2023-11,15589.318181818182
2023-12,15496.142857142857
2024-01,15607.04347826087
2024-02,15643.97619047619
2024-03,15697.190476190475
2024-04,16082.122727272728
2024-05,16069.382608695652
2024-06,16334.605
2024-07,16238.478260869566
2024-08,15734.772727272728
2024-09,15318.48095238095
2024-10,15557.608695652174
2024-11,15813.09523809524
2024-12,16191.0
2025-01,16257.818181818182
2025-02,16346.35
2025-03,16471.809523809523
2025-04,16828.9
2025-05,16428.190476190477
2025-06,16304.761904761905
2025-07,16297.304347826086
2025-08,16307.809523809525
2025-09,16535.31818181818
2025-10,16603.782608695652
2025-11,16698.55
2025-12,16695.14285714286
2026-01,16831.85714285714
2026-02,16827.3
2026-03,16924.136363636364
2026-04,17346.0
2026-05,17868.359309
