date,wisman,month
2009-01-01,174541,2009-01
2009-02-01,147704,2009-02
2009-03-01,168205,2009-03
2009-04-01,188776,2009-04
2009-05-01,190803,2009-05
2009-06-01,200566,2009-06
2009-07-01,235198,2009-07
2009-08-01,232255,2009-08
2009-09-01,218443,2009-09
2009-10-01,221282,2009-10
2009-11-01,184803,2009-11
2009-12-01,222546,2009-12
2010-01-01,179273,2010-01
2010-02-01,191926,2010-02
2010-03-01,192579,2010-03
2010-04-01,184907,2010-04
2010-05-01,203388,2010-05
2010-06-01,228045,2010-06
2010-07-01,254907,2010-07
2010-08-01,243154,2010-08
2010-09-01,240947,2010-09
2010-10-01,229904,2010-10
2010-11-01,199861,2010-11
2010-12-01,227251,2010-12
2011-01-01,209093,2011-01
2011-02-01,207195,2011-02
2011-03-01,207907,2011-03
2011-04-01,224704,2011-04
2011-05-01,209058,2011-05
2011-06-01,245652,2011-06
2011-07-01,283524,2011-07
2011-08-01,258377,2011-08
2011-09-01,258440,2011-09
2011-10-01,247565,2011-10
2011-11-01,221603,2011-11
2011-12-01,253591,2011-12
2012-01-01,253286,2012-01
2012-02-01,225993,2012-02
2012-03-01,230957,2012-03
2012-04-01,225488,2012-04
2012-05-01,220700,2012-05
2012-06-01,244080,2012-06
2012-07-01,271512,2012-07
2012-08-01,254079,2012-08
2012-09-01,257363,2012-09
2012-10-01,255021,2012-10
2012-11-01,242781,2012-11
2012-12-01,268072,2012-12
2013-01-01,232935,2013-01
2013-02-01,241868,2013-02
2013-03-01,252210,2013-03
2013-04-01,242369,2013-04
2013-05-01,247972,2013-05
2013-06-01,275667,2013-06
2013-07-01,297878,2013-07
2013-08-01,309219,2013-08
2013-09-01,305629,2013-09
2013-10-01,266562,2013-10
2013-11-01,307276,2013-11
2013-12-01,299013,2013-12
2014-01-01,279257,2014-01
2014-02-01,275795,2014-02
2014-03-01,276573,2014-03
2014-04-01,280096,2014-04
2014-05-01,286033,2014-05
2014-06-01,330396,2014-06
2014-07-01,361066,2014-07
2014-08-01,336763,2014-08
2014-09-01,354762,2014-09
2014-10-01,341651,2014-10
2014-11-01,296876,2014-11
2014-12-01,347370,2014-12
2015-01-01,301748,2015-01
2015-02-01,338991,2015-02
2015-03-01,305272,2015-03
2015-04-01,313763,2015-04
2015-05-01,295973,2015-05
2015-06-01,359702,2015-06
2015-07-01,382683,2015-07
2015-08-01,303621,2015-08
2015-09-01,389060,2015-09
2015-10-01,369447,2015-10
2015-11-01,270935,2015-11
2015-12-01,370640,2015-12
2016-01-01,350592,2016-01
2016-02-01,375744,2016-02
2016-03-01,364113,2016-03
2016-04-01,380767,2016-04
2016-05-01,394557,2016-05
2016-06-01,405835,2016-06
2016-07-01,484231,2016-07
2016-08-01,438135,2016-08
2016-09-01,445716,2016-09
2016-10-01,432215,2016-10
2016-11-01,413232,2016-11
2016-12-01,442800,2016-12
2017-01-01,460824,2017-01
2017-02-01,453985,2017-02
2017-03-01,425499,2017-03
2017-04-01,477464,2017-04
2017-05-01,489376,2017-05
2017-06-01,504141,2017-06
2017-07-01,592046,2017-07
2017-08-01,601884,2017-08
2017-09-01,550520,2017-09
2017-10-01,465085,2017-10
2017-11-01,361006,2017-11
2017-12-01,315909,2017-12
2018-01-01,358065,2018-01
2018-02-01,452423,2018-02
2018-03-01,492678,2018-03
2018-04-01,516777,2018-04
2018-05-01,528512,2018-05
2018-06-01,544550,2018-06
2018-07-01,624366,2018-07
2018-08-01,573766,2018-08
2018-09-01,555903,2018-09
2018-10-01,517889,2018-10
2018-11-01,406725,2018-11
2018-12-01,498819,2018-12
2019-01-01,455570,2019-01
2019-02-01,437456,2019-02
2019-03-01,449569,2019-03
2019-04-01,477069,2019-04
2019-05-01,486602,2019-05
