tahun,indonesia_total,bali_total,bali_share_pct
1969,86067,11278,13.1
1970,129319,24340,18.82
1971,178781,34313,19.19
1972,221195,47004,21.25
1973,270303,53803,19.9
1974,313452,57456,18.33
1975,366293,75790,20.69
1976,401237,115220,28.72
1977,456718,119095,26.08
1978,468614,133225,28.43
1979,501430,120139,23.96
1980,561178,139695,24.89
1981,600151,153030,25.5
1982,592046,150673,25.45
1983,638855,166575,26.07
1984,700910,188833,26.94
1985,749351,211222,28.19
1986,825035,243354,29.5
1987,1060547,309292,29.16
1988,1301049,360413,27.7
1989,1625965,436358,26.84
1990,2051686,489710,23.87
1991,2569870,554975,21.6
1992,3060197,735777,24.04
1993,3403138,884206,25.98
1994,4006312,1030944,25.73
1995,4310504,1014085,23.53
1996,5034472,1138895,22.62
1997,5184486,1230316,23.73
1998,4606416,1187153,25.77
1999,4600000,1355799,29.47
2000,5064217,1412839,27.9
2001,5153620,1356774,26.33
2002,5033400,1285842,25.55
2003,4467021,993185,22.23
2004,5321165,1472190,27.67
2005,5002101,1388984,27.77
2006,4871351,1262537,25.92
2007,5505759,1668531,30.31
2008,6234497,2085084,33.44
2009,6323730,2385122,37.72
2010,7002944,2576142,36.79
2011,7649731,2826709,36.95
2012,8044462,2949332,36.66
2013,8802129,3278598,37.25
2014,9435411,3766638,39.92
2015,10406291,4001835,38.46
2016,11519275,4927937,42.78
2017,14039799,5697739,40.58
2018,15806191,6070473,38.41
2019,16106954,6275210,38.96
2020,4052923,1069473,26.39
2021,1557530,51,0.0
2022,5889031,2155747,36.61
2023,11677825,5273258,45.16
2024,13902420,6333360,45.56
2025,15386646,6948754,45.16
