date,month,wisnus
2004-01-01,2004-01,167106.0
2004-02-01,2004-02,133660.0
2004-03-01,2004-03,118369.0
2004-04-01,2004-04,129730.0
2004-05-01,2004-05,142186.0
2004-06-01,2004-06,167718.0
2004-07-01,2004-07,212463.0
2004-08-01,2004-08,171034.0
2004-09-01,2004-09,168420.0
2004-10-01,2004-10,150827.0
2004-11-01,2004-11,269132.0
2004-12-01,2004-12,207541.0
2005-01-01,2005-01,174515.0
2005-02-01,2005-02,161808.0
2005-03-01,2005-03,194411.0
2005-04-01,2005-04,174033.0
2005-05-01,2005-05,190855.0
2005-06-01,2005-06,201990.0
2005-07-01,2005-07,254264.0
2005-08-01,2005-08,217782.0
2005-09-01,2005-09,218382.0
2005-10-01,2005-10,168684.0
2005-11-01,2005-11,259543.0
2005-12-01,2005-12,192242.0
2006-01-01,2006-01,202857.0
2006-02-01,2006-02,161413.0
2006-03-01,2006-03,171795.0
2006-04-01,2006-04,192182.0
2006-05-01,2006-05,188152.0
2006-06-01,2006-06,204284.0
2006-07-01,2006-07,245909.0
2006-08-01,2006-08,218117.0
2006-09-01,2006-09,196167.0
2006-10-01,2006-10,238721.0
2006-11-01,2006-11,234308.0
2006-12-01,2006-12,220882.0
2007-01-01,2007-01,181266.0
2007-02-01,2007-02,144425.0
2007-03-01,2007-03,161009.0
2007-04-01,2007-04,165509.0
2007-05-01,2007-05,183736.0
2007-06-01,2007-06,214957.0
2007-07-01,2007-07,244032.0
2007-08-01,2007-08,217822.0
2007-09-01,2007-09,181846.0
2007-10-01,2007-10,299724.0
2007-11-01,2007-11,204579.0
2007-12-01,2007-12,285739.0
2008-01-01,2008-01,225955.0
2008-02-01,2008-02,190792.0
2008-03-01,2008-03,221181.0
2008-04-01,2008-04,206631.0
2008-05-01,2008-05,226339.0
2008-06-01,2008-06,256448.0
2008-07-01,2008-07,329362.0
2008-08-01,2008-08,259511.0
2008-09-01,2008-09,205304.0
2008-10-01,2008-10,306112.0
2008-11-01,2008-11,203416.0
2008-12-01,2008-12,267742.0
2009-01-01,2009-01,264915.0
2009-02-01,2009-02,204419.0
2009-03-01,2009-03,255203.0
2009-04-01,2009-04,247100.0
2009-05-01,2009-05,289635.0
2009-06-01,2009-06,304213.0
2009-07-01,2009-07,340610.0
2009-08-01,2009-08,280972.0
2009-09-01,2009-09,352257.0
2009-10-01,2009-10,330337.0
2009-11-01,2009-11,285526.0
2009-12-01,2009-12,365948.0
2010-01-01,2010-01,349575.0
2010-02-01,2010-02,238789.0
2010-03-01,2010-03,202995.0
2010-04-01,2010-04,396898.0
2010-05-01,2010-05,421369.0
2010-06-01,2010-06,455456.0
2010-07-01,2010-07,489307.0
2010-08-01,2010-08,377570.0
2010-09-01,2010-09,594662.0
2010-10-01,2010-10,391722.0
2010-11-01,2010-11,361395.0
2010-12-01,2010-12,366605.0
2011-01-01,2011-01,280588.0
2011-02-01,2011-02,340508.0
2011-03-01,2011-03,358313.0
2011-04-01,2011-04,385228.0
2011-05-01,2011-05,463452.0
2011-06-01,2011-06,568264.0
2011-07-01,2011-07,573103.0
2011-08-01,2011-08,440751.0
2011-09-01,2011-09,609633.0
2011-10-01,2011-10,526302.0
2011-11-01,2011-11,574016.0
2011-12-01,2011-12,554963.0
2012-01-01,2012-01,333199.0
2012-02-01,2012-02,305934.0
2012-03-01,2012-03,307616.0
2012-04-01,2012-04,331378.0
2012-05-01,2012-05,525076.0
2012-06-01,2012-06,569635.0
2012-07-01,2012-07,524334.0
2012-08-01,2012-08,661334.0
2012-09-01,2012-09,572359.0
2012-10-01,2012-10,667703.0
2012-11-01,2012-11,545348.0
2012-12-01,2012-12,719642.0
2013-01-01,2013-01,426360.0
2013-02-01,2013-02,369525.0
2013-03-01,2013-03,431393.0
2013-04-01,2013-04,403211.0
2013-05-01,2013-05,456491.0
2013-06-01,2013-06,785053.0
2013-07-01,2013-07,474769.0
2013-08-01,2013-08,878278.0
2013-09-01,2013-09,473697.0
2013-10-01,2013-10,758351.0
2013-11-01,2013-11,678748.0
2013-12-01,2013-12,840660.0
2014-01-01,2014-01,517500.0
2014-02-01,2014-02,296581.0
2014-03-01,2014-03,255403.0
2014-04-01,2014-04,318800.0
2014-05-01,2014-05,385366.0
2014-06-01,2014-06,667201.0
2014-07-01,2014-07,682941.0
2014-08-01,2014-08,843958.0
2014-09-01,2014-09,615429.0
2014-10-01,2014-10,549998.0
2014-11-01,2014-11,468743.0
2014-12-01,2014-12,792387.0
2015-01-01,2015-01,528506.0
2015-02-01,2015-02,483221.0
2015-03-01,2015-03,503311.0
2015-04-01,2015-04,528668.0
2015-05-01,2015-05,651089.0
2015-06-01,2015-06,571646.0
2015-07-01,2015-07,799765.0
