Date,Price,Open,High,Low,Change %
4/30/2026,"17,310.00","17,350.00","17,387.50","17,307.50",0.17%
4/29/2026,"17,280.00","17,277.50","17,337.50","17,267.50",0.38%
4/28/2026,"17,215.00","17,212.50","17,249.00","17,202.50",0.15%
4/27/2026,"17,190.00","17,210.00","17,237.50","17,187.50",-0.01%
4/24/2026,"17,192.50","17,275.00","17,294.00","17,192.50",-0.54%
4/23/2026,"17,285.00","17,225.00","17,322.50","17,225.00",0.64%
4/22/2026,"17,175.00","17,155.00","17,187.50","17,147.50",0.18%
4/21/2026,"17,144.00","17,145.00","17,155.50","17,117.50",-0.15%
4/20/2026,"17,170.00","17,160.00","17,187.50","17,140.00",-0.09%
4/17/2026,"17,185.00","17,155.00","17,195.00","17,152.50",0.32%
4/16/2026,"17,130.00","17,137.50","17,155.00","17,113.50",-0.03%
4/15/2026,"17,135.00","17,117.50","17,147.50","17,110.00",0.12%
4/14/2026,"17,115.00","17,125.00","17,144.00","17,115.00",0.09%
4/13/2026,"17,100.00","17,125.00","17,142.50","17,100.00",0.06%
4/10/2026,"17,090.00","17,080.00","17,122.50","17,076.50",0.03%
4/9/2026,"17,085.00","17,040.00","17,100.00","17,027.50",0.44%
4/8/2026,"17,010.00","16,985.00","17,025.50","16,980.00",-0.49%
4/7/2026,"17,094.50","17,052.50","17,107.50","17,052.50",0.35%
4/6/2026,"17,035.00","17,000.00","17,047.50","16,992.50",0.24%
4/3/2026,"16,994.50","16,994.50","16,994.50","16,994.50",0.00%
4/2/2026,"16,994.50","16,990.00","17,027.50","16,980.00",0.09%
4/1/2026,"16,980.00","16,992.00","17,031.00","16,957.50",-0.09%
3/31/2026,"16,994.50","16,985.00","16,999.00","16,985.00",0.03%
3/30/2026,"16,990.00","16,985.00","16,996.50","16,977.50",0.15%
3/27/2026,"16,965.00","16,922.50","16,974.00","16,922.50",0.38%
3/26/2026,"16,900.00","16,885.00","16,907.50","16,880.00",-0.06%
3/25/2026,"16,910.00","16,915.00","16,925.00","16,870.00",-0.41%
3/24/2026,"16,980.00","16,980.00","16,980.00","16,980.00",0.00%
3/23/2026,"16,980.00","16,980.00","16,980.00","16,980.00",0.00%
3/20/2026,"16,980.00","16,980.00","16,980.00","16,980.00",0.00%
3/19/2026,"16,980.00","16,980.00","16,980.00","16,980.00",0.00%
3/18/2026,"16,980.00","16,980.00","16,980.00","16,980.00",0.00%
3/17/2026,"16,980.00","16,977.50","16,992.50","16,960.00",-0.06%
3/16/2026,"16,990.00","16,950.00","16,997.50","16,950.00",0.30%
3/13/2026,"16,940.00","16,907.50","16,946.00","16,897.50",0.30%
3/12/2026,"16,890.00","16,900.00","16,909.00","16,878.00",0.12%
3/11/2026,"16,870.00","16,840.00","16,872.50","16,835.00",0.07%
3/10/2026,"16,857.50","16,865.00","16,895.00","16,842.50",-0.49%
