date,avg_tone,article_count,risk_article_count
2021-06-01,-1.143539923254222,393,0
2021-07-01,-2.894051698410177,1024,2
2021-08-01,-3.182354463777689,924,23
2021-09-01,-2.459744125957212,931,3
2021-10-01,-2.2315799163945043,1211,14
2021-11-01,-3.205238766493428,1089,8
2021-12-01,-0.45796756423473195,611,2
2022-01-01,-3.1553453384998247,812,0
2022-02-01,-1.2993716568397669,894,19
2022-03-01,-0.35587939765788806,1297,21
2022-04-01,-0.6360600094934374,876,3
2022-05-01,-0.7914647953225246,1071,16
2022-06-01,0.10087561446988408,1530,2
2022-07-01,-1.74670477191732,3897,6
2022-08-01,-1.4330128014666967,1654,0
2022-09-01,0.19089815545356426,1576,10
2022-10-01,-0.278774062729151,1364,11
2022-11-01,-0.31764041676320864,5616,16
2022-12-01,-2.0655984126728875,2202,1
2023-01-01,-0.3861050777950599,849,23
2023-02-01,-1.4914577062323287,667,16
2023-03-01,-0.6947149065833641,1172,2
2023-04-01,-2.1623409291419375,1348,35
2023-05-01,-0.8862587420085035,1290,39
2023-06-01,-2.3927967298974644,1794,4
2023-07-01,0.06962713171847089,1180,12
2023-08-01,-0.061888453066409034,1100,12
2023-09-01,-0.31016961694985457,1226,6
2023-10-01,-0.13135253906549366,1119,4
2023-11-01,-0.559579683690437,887,0
2023-12-01,0.10751012021377548,710,0
2024-01-01,-3.201176925911313,1156,6
2024-02-01,0.7885399669499327,855,4
2024-03-01,-0.5434300351766357,739,7
2024-04-01,-0.04841407032486138,835,24
2024-05-01,0.02481542646745675,2182,4
2024-06-01,-1.2874771212424196,1027,34
2024-07-01,-0.7067114278798962,936,4
2024-08-01,0.7809354664244944,865,12
2024-09-01,-0.019955061110071216,1483,22
2024-10-01,-0.4327081783212349,903,8
2024-11-01,-1.1299436903658946,1047,10
2024-12-01,-0.7861481883520582,1422,12
2025-01-01,0.05130439095854758,1041,40
2025-02-01,-2.438865265453589,798,10
2025-03-01,-1.6203273438408106,682,4
2025-04-01,-0.4771078693014815,455,12
2025-05-01,-3.00983182241292,934,28
2025-06-01,-4.143682925503657,664,2
2025-07-01,-2.3722404234982477,1303,10
2025-08-01,-3.0514999655714408,810,5
2025-09-01,-2.9149509470636827,1465,27
2025-10-01,-2.8757832960592964,1101,12
2025-11-01,-2.412978481079915,883,20
2025-12-01,-4.279104346242413,1306,2
2026-01-01,-0.4599909870807086,590,6
2026-02-01,-3.7617007790810715,871,10
2026-03-01,-3.655074182800865,1009,15
2026-04-01,-3.796544451907604,667,4
2026-05-01,-1.0984077402537356,466,7
2026-06-01,-0.026438167488585525,184,19
