date,avg_tone,article_count,risk_article_count,crime_count
2009-01-01,4.881555085742963,271,1,24
2009-02-01,4.760496439573033,389,5,28
2009-03-01,5.302634352971296,305,21,19
2009-04-01,4.192748371266919,510,13,31
2009-05-01,5.349025549104788,444,0,12
2009-06-01,4.534744850892327,445,0,28
2009-07-01,4.129208821060467,824,0,221
2009-08-01,4.60481487602919,749,2,163
2009-09-01,4.111063484782682,957,2,215
2009-10-01,5.801605828373133,311,0,38
2009-11-01,6.230596235833882,289,1,21
2009-12-01,4.0112446727070274,778,4,76
2010-01-01,4.85597749805334,541,6,32
2010-02-01,4.537235554451911,818,0,129
2010-03-01,4.516288534615963,452,0,94
2010-04-01,5.191630941517123,389,15,24
2010-05-01,4.985125435069297,292,0,34
2010-06-01,4.550960154302925,212,0,31
2010-07-01,4.49723558961702,360,0,54
2010-08-01,4.961477002750272,979,5,96
2010-09-01,5.021276233426172,890,3,84
2010-10-01,5.1600187536747,551,4,45
2010-11-01,5.645501384147442,404,0,28
2010-12-01,5.277318713457259,823,0,50
2011-01-01,4.76740399969625,464,28,19
2011-02-01,4.8787171113703565,612,5,53
2011-03-01,4.9882722664788455,721,0,63
2011-04-01,5.525745810569649,699,14,70
2011-05-01,5.781264464330285,861,3,44
2011-06-01,5.285154537682746,813,4,52
2011-07-01,5.473769594591745,1423,6,33
2011-08-01,4.978030847883387,799,3,56
2011-09-01,4.762161482860688,708,7,92
2011-10-01,4.5514186687298,1290,0,55
2011-11-01,5.681033191224369,1845,11,11
2011-12-01,5.8120534292173724,680,0,7
2012-01-01,4.723911121679514,467,1,27
2012-02-01,3.846916196661152,546,4,70
2012-03-01,3.701738523246792,791,1,136
2012-04-01,5.285808389291221,544,7,26
2012-05-01,5.290492870062391,1245,0,42
2012-06-01,5.472898299894681,526,18,55
2012-07-01,5.6260575570337314,804,8,18
2012-08-01,5.860565639170165,602,12,31
2012-09-01,5.699451346823854,692,28,29
2012-10-01,5.452278508561924,1285,7,168
2012-11-01,2.916335286226353,1940,3,110
2012-12-01,2.405777230530513,1346,9,51
2013-01-01,2.3213199191093588,1914,23,117
2013-02-01,3.0795490515639754,1099,0,40
2013-03-01,2.777589768728291,1515,8,111
2013-04-01,2.42672294915948,790,4,18
2013-05-01,1.901376579118943,477,4,52
2013-06-01,2.4339456753554494,937,0,58
2013-07-01,2.455075811843858,1001,1,63
2013-08-01,2.822625709069031,1779,2,94
2013-09-01,2.939408657158209,3124,92,92
2013-10-01,2.623685460317869,5587,23,171
2013-11-01,2.730726714166764,2377,20,69
2013-12-01,3.2233760927632606,1870,12,57
2014-01-01,2.363098575117302,1618,15,88
2014-02-01,2.418577260328961,4555,32,143
