date,Bali vacation,Bali travel,Bali hotel
2021-06-06,2,9,37
2021-06-13,3,9,37
2021-06-20,5,11,38
2021-06-27,4,10,30
2021-07-04,3,9,25
2021-07-11,3,9,28
2021-07-18,3,9,26
2021-07-25,2,8,25
2021-08-01,2,8,25
2021-08-08,2,8,27
2021-08-15,1,8,26
2021-08-22,2,7,26
2021-08-29,2,7,25
2021-09-05,1,7,24
2021-09-12,2,8,27
2021-09-19,2,9,28
2021-09-26,1,8,29
2021-10-03,1,9,31
2021-10-10,1,10,36
2021-10-17,1,10,36
2021-10-24,2,12,34
2021-10-31,2,12,34
2021-11-07,2,12,34
2021-11-14,2,11,39
2021-11-21,1,10,33
2021-11-28,1,9,32
2021-12-05,1,8,33
2021-12-12,2,9,37
2021-12-19,2,8,33
2021-12-26,2,11,42
2022-01-02,2,14,40
2022-01-09,2,13,35
2022-01-16,2,11,31
2022-01-23,2,12,33
2022-01-30,2,17,34
2022-02-06,2,14,35
2022-02-13,2,14,35
2022-02-20,3,15,33
2022-02-27,2,18,33
2022-03-06,2,21,39
2022-03-13,2,24,47
2022-03-20,3,22,50
2022-03-27,3,22,51
2022-04-03,2,21,48
2022-04-10,2,21,45
2022-04-17,2,21,48
2022-04-24,2,21,52
2022-05-01,3,22,61
2022-05-08,2,22,57
2022-05-15,2,22,53
2022-05-22,2,19,50
2022-05-29,2,18,52
2022-06-05,2,19,57
2022-06-12,3,19,55
2022-06-19,3,19,60
2022-06-26,3,18,64
2022-07-03,2,20,61
2022-07-10,2,21,59
2022-07-17,2,20,64
2022-07-24,3,18,59
2022-07-31,2,18,63
2022-08-07,2,16,57
2022-08-14,2,17,55
2022-08-21,2,17,58
2022-08-28,2,15,49
2022-09-04,2,16,47
2022-09-11,2,16,49
2022-09-18,2,16,56
2022-09-25,2,15,47
2022-10-02,2,15,52
2022-10-09,2,15,49
2022-10-16,3,15,47
2022-10-23,3,15,48
2022-10-30,3,15,49
2022-11-06,3,15,51
2022-11-13,2,15,67
2022-11-20,2,13,46
2022-11-27,2,14,52
2022-12-04,3,16,47
2022-12-11,4,14,49
2022-12-18,4,14,54
2022-12-25,5,17,72
2023-01-01,5,20,61
2023-01-08,5,20,62
2023-01-15,4,17,64
2023-01-22,5,18,63
2023-01-29,4,17,55
2023-02-05,3,15,56
2023-02-12,3,15,59
2023-02-19,3,16,59
2023-02-26,3,15,56
2023-03-05,3,16,57
2023-03-12,3,16,59
2023-03-19,3,15,46
2023-03-26,3,15,51
2023-04-02,3,15,51
2023-04-09,4,16,53
2023-04-16,4,16,56
2023-04-23,4,16,62
2023-04-30,4,17,55
2023-05-07,3,15,63
2023-05-14,3,14,58
2023-05-21,3,15,57
2023-05-28,3,15,60
2023-06-04,3,16,58
2023-06-11,3,16,64
2023-06-18,3,17,64
2023-06-25,3,17,67
2023-07-02,3,17,76
2023-07-09,3,16,67
2023-07-16,3,14,59
2023-07-23,3,14,62
2023-07-30,3,14,57
2023-08-06,2,14,57
2023-08-13,3,13,59
2023-08-20,3,14,57
2023-08-27,2,15,57
2023-09-03,3,14,54
2023-09-10,2,12,50
2023-09-17,2,12,53
2023-09-24,2,12,53
2023-10-01,2,12,50
2023-10-08,2,12,51
2023-10-15,2,12,50
2023-10-22,2,11,50
2023-10-29,2,11,52
2023-11-05,2,11,46
2023-11-12,2,12,45
2023-11-19,2,12,50
2023-11-26,2,12,47
2023-12-03,2,12,48
2023-12-10,2,12,50
2023-12-17,2,13,50
2023-12-24,3,14,60
2023-12-31,3,17,60
2024-01-07,3,15,59
2024-01-14,3,15,60
2024-01-21,4,15,54
2024-01-28,3,15,51
2024-02-04,2,14,52
2024-02-11,3,14,52
2024-02-18,3,14,59
2024-02-25,2,14,53
2024-03-03,2,13,46
2024-03-10,2,13,46
2024-03-17,2,13,47
2024-03-24,3,14,50
2024-03-31,2,16,51
2024-04-07,3,13,57
2024-04-14,2,15,55
2024-04-21,2,14,57
2024-04-28,2,15,63
2024-05-05,2,14,63
2024-05-12,3,14,65
2024-05-19,2,14,63
2024-05-26,3,15,58
2024-06-02,2,14,58
2024-06-09,2,15,62
2024-06-16,3,16,61
2024-06-23,2,15,63
2024-06-30,2,16,62
2024-07-07,2,15,64
2024-07-14,2,15,62
2024-07-21,3,15,62
2024-07-28,2,16,60
2024-08-04,2,14,61
2024-08-11,2,15,67
2024-08-18,2,14,62
2024-08-25,2,14,59
2024-09-01,2,15,60
2024-09-08,2,14,57
2024-09-15,2,13,53
2024-09-22,2,13,49
2024-09-29,2,13,54
2024-10-06,2,12,56
2024-10-13,2,12,47
2024-10-20,2,12,46
2024-10-27,2,12,46
2024-11-03,2,12,43
2024-11-10,2,14,43
2024-11-17,2,12,41
2024-11-24,2,12,43
2024-12-01,2,12,42
2024-12-08,2,12,46
2024-12-15,2,12,47
2024-12-22,3,15,50
2024-12-29,3,20,50
2025-01-05,2,18,48
2025-01-12,3,15,50
2025-01-19,2,13,48
2025-01-26,3,14,46
2025-02-02,2,16,45
2025-02-09,2,14,48
2025-02-16,3,14,50
2025-02-23,2,13,42
2025-03-02,2,14,46
2025-03-09,2,13,45
2025-03-16,2,14,44
2025-03-23,2,14,42
2025-03-30,2,13,50
2025-04-06,2,13,46
2025-04-13,2,14,48
2025-04-20,2,14,46
2025-04-27,3,13,48
2025-05-04,2,15,50
2025-05-11,2,14,50
2025-05-18,2,14,47
2025-05-25,2,13,48
2025-06-01,3,24,52
2025-06-08,2,14,52
2025-06-15,2,17,55
2025-06-22,2,14,51
2025-06-29,2,14,54
2025-07-06,3,15,60
2025-07-13,2,15,53
2025-07-20,2,19,53
2025-07-27,3,24,57
2025-08-03,4,37,84
2025-08-10,4,39,93
2025-08-17,4,36,100
2025-08-24,3,31,79
2025-08-31,4,37,82
2025-09-07,3,38,80
2025-09-14,3,31,67
2025-09-21,3,32,61
2025-09-28,3,33,62
2025-10-05,3,30,60
2025-10-12,3,28,56
2025-10-19,2,27,56
2025-10-26,2,26,60
2025-11-02,2,27,57
2025-11-09,2,29,60
2025-11-16,2,33,62
2025-11-23,3,41,67
2025-11-30,4,46,73
2025-12-07,4,42,63
2025-12-14,4,38,60
2025-12-21,4,36,57
2025-12-28,4,42,63
2026-01-04,4,36,65
2026-01-11,5,37,71
2026-01-18,4,40,72
2026-01-25,5,43,83
2026-02-01,4,39,71
2026-02-08,4,32,70
2026-02-15,4,31,64
2026-02-22,5,37,69
2026-03-01,5,39,70
2026-03-08,4,39,70
2026-03-15,3,35,60
2026-03-22,3,37,65
2026-03-29,3,39,71
2026-04-05,4,39,70
2026-04-12,4,37,77
2026-04-19,4,36,71
2026-04-26,6,36,71
2026-05-03,8,38,75
2026-05-10,7,41,79
2026-05-17,4,36,68
2026-05-24,3,28,66
2026-05-31,3,21,59
2026-06-07,3,20,63
