date,Bali vacation,Bali travel,Bali hotel
2008-12-28,0,10,58
2009-01-04,1,12,65
2009-01-11,2,12,66
2009-01-18,2,11,67
2009-01-25,2,11,61
2009-02-01,1,12,62
2009-02-08,0,13,67
2009-02-15,2,11,69
2009-02-22,2,13,71
2009-03-01,1,12,71
2009-03-08,2,12,69
2009-03-15,1,13,70
2009-03-22,0,12,69
2009-03-29,1,14,73
2009-04-05,2,15,69
2009-04-12,2,13,74
2009-04-19,1,12,73
2009-04-26,0,12,70
2009-05-03,2,13,78
2009-05-10,1,13,80
2009-05-17,1,11,80
2009-05-24,1,14,80
2009-05-31,1,13,85
2009-06-07,2,13,88
2009-06-14,1,14,93
2009-06-21,1,13,93
2009-06-28,1,13,90
2009-07-05,2,15,97
2009-07-12,2,16,100
2009-07-19,2,17,88
2009-07-26,1,12,87
2009-08-02,1,13,87
2009-08-09,1,14,93
2009-08-16,2,12,83
2009-08-23,1,13,84
2009-08-30,1,11,78
2009-09-06,1,12,73
2009-09-13,1,11,67
2009-09-20,1,11,65
2009-09-27,1,13,65
2009-10-04,0,10,68
2009-10-11,1,11,67
2009-10-18,1,11,68
2009-10-25,1,10,68
2009-11-01,1,9,69
2009-11-08,1,12,73
2009-11-15,0,10,74
2009-11-22,1,10,66
2009-11-29,1,9,65
2009-12-06,1,10,66
2009-12-13,1,9,60
2009-12-20,1,10,60
2009-12-27,1,15,68
2010-01-03,2,16,81
2010-01-10,2,13,79
2010-01-17,2,16,79
2010-01-24,2,12,74
2010-01-31,2,13,76
2010-02-07,1,11,75
2010-02-14,1,10,73
2010-02-21,1,12,71
2010-02-28,1,11,71
2010-03-07,2,12,81
2010-03-14,1,11,78
2010-03-21,1,12,73
2010-03-28,2,12,78
2010-04-04,2,12,78
2010-04-11,2,12,81
2010-04-18,1,13,81
2010-04-25,1,13,80
2010-05-02,1,12,83
2010-05-09,1,14,81
2010-05-16,1,14,88
2010-05-23,2,14,86
2010-05-30,2,12,90
2010-06-06,1,13,82
2010-06-13,1,13,83
2010-06-20,1,12,82
2010-06-27,2,14,87
2010-07-04,1,13,99
2010-07-11,2,13,83
2010-07-18,2,15,94
2010-07-25,2,13,91
2010-08-01,2,14,93
2010-08-08,2,16,91
2010-08-15,3,14,90
2010-08-22,2,13,78
2010-08-29,2,13,73
2010-09-05,2,14,72
2010-09-12,1,13,69
2010-09-19,2,12,68
2010-09-26,1,12,65
2010-10-03,1,12,71
2010-10-10,1,12,71
2010-10-17,2,11,70
2010-10-24,1,13,66
2010-10-31,1,11,57
2010-11-07,1,14,65
2010-11-14,1,11,65
2010-11-21,1,12,64
2010-11-28,2,10,59
2010-12-05,1,9,57
2010-12-12,1,9,57
2010-12-19,1,10,58
2010-12-26,3,12,63
2011-01-02,2,14,77
2011-01-09,1,15,74
2011-01-16,2,14,75
2011-01-23,2,12,70
2011-01-30,1,13,66
2011-02-06,2,12,72
2011-02-13,2,11,70
2011-02-20,2,13,72
2011-02-27,1,11,70
2011-03-06,1,13,65
2011-03-13,1,11,63
2011-03-20,1,11,65
2011-03-27,2,12,66
2011-04-03,2,12,66
2011-04-10,1,12,68
2011-04-17,2,11,73
2011-04-24,1,12,65
2011-05-01,2,16,64
2011-05-08,1,12,71
2011-05-15,1,12,75
2011-05-22,1,12,74
2011-05-29,1,12,76
2011-06-05,2,13,74
2011-06-12,1,13,74
2011-06-19,1,13,76
2011-06-26,2,12,76
2011-07-03,2,11,84
2011-07-10,1,12,87
2011-07-17,1,13,80
2011-07-24,1,12,78
2011-07-31,1,12,78
2011-08-07,1,10,77
2011-08-14,1,11,78
2011-08-21,2,11,69
2011-08-28,2,10,64
2011-09-04,1,11,71
2011-09-11,1,11,69
2011-09-18,1,11,73
2011-09-25,1,10,68
2011-10-02,1,10,66
2011-10-09,1,12,65
2011-10-16,1,10,59
2011-10-23,1,10,57
2011-10-30,1,9,59
2011-11-06,1,9,60
2011-11-13,2,10,65
2011-11-20,1,10,57
2011-11-27,1,9,55
2011-12-04,1,8,56
2011-12-11,1,10,53
2011-12-18,1,9,56
2011-12-25,1,11,61
2012-01-01,2,13,72
2012-01-08,2,12,64
2012-01-15,1,11,65
2012-01-22,1,10,59
2012-01-29,1,10,61
2012-02-05,1,11,60
2012-02-12,2,10,58
2012-02-19,1,11,67
2012-02-26,1,11,63
2012-03-04,1,10,63
2012-03-11,2,9,62
2012-03-18,1,14,67
2012-03-25,1,11,59
2012-04-01,1,10,61
2012-04-08,2,10,61
2012-04-15,1,10,62
2012-04-22,1,11,60
2012-04-29,1,10,61
2012-05-06,1,9,65
2012-05-13,1,10,63
2012-05-20,1,10,65
2012-05-27,2,10,64
2012-06-03,1,11,64
