time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,latitude,longitude,timezone,source,extreme_weather_score,extreme_weather_category,is_extreme_weather_day,extreme_weather_reason
2009-01-01,27.4,22.9,24.7,2.5,2.5,13.9,32.4,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-02,27.8,23.1,25.0,0.5,0.5,18.4,40.3,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-01-03,27.7,23.2,25.2,1.0,1.0,20.1,41.4,84,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
2009-01-04,26.7,23.0,24.4,6.7,6.7,17.1,34.6,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-05,27.7,22.8,24.4,9.9,9.9,14.7,34.9,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-06,27.6,22.7,24.4,15.2,15.2,12.0,30.2,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-07,27.4,22.6,24.8,9.3,9.3,15.7,33.8,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-08,27.5,22.8,24.4,15.0,15.0,14.4,31.3,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-09,27.6,23.0,24.4,8.8,8.8,18.6,38.2,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-01-10,27.1,22.7,24.2,6.9,6.9,19.4,42.1,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,30,MEDIUM,0,Hembusan angin kencang
