country,date,gdp_growth,inflation_rate,unemployment_rate,composite_gdp_weighted
AUS,2009-01-01,1.95484826298522,1.77112025681656,5.565,1.4694684816648116
AUS,2010-01-01,2.21004795300735,2.9183370211222,5.214,5.627735386354515
AUS,2011-01-01,2.39473494330615,3.30384784681081,5.083,4.072502270790522
AUS,2012-01-01,3.95247138119184,1.76278299052228,5.225,4.084882484206712
AUS,2013-01-01,2.65445302592404,2.44988248109259,5.663,3.861157713342307
AUS,2014-01-01,2.60118978187332,2.48792932080492,6.078,4.107968626496641
AUS,2015-01-01,2.16434780647852,1.50836803138463,6.055,3.8766031523673528
AUS,2016-01-01,2.75564065529868,1.27699365720306,5.711,3.882725130169828
AUS,2017-01-01,2.29331030192918,1.94864309065653,5.592,4.006774804110054
AUS,2018-01-01,2.87417039499501,1.91140002818579,5.345,3.6896152885749975
AUS,2019-01-01,2.19401703622717,1.610770929127,5.143,2.8523871144257584
AUS,2020-01-01,-0.133531904304775,0.846900734607273,6.394,-2.4536953421055205
AUS,2021-01-01,2.00694844335034,2.86391284709318,5.022,5.72909543857244
AUS,2022-01-01,4.25304559238732,6.59409658717841,3.728,4.053251013030512
AUS,2023-01-01,3.58382100798981,5.59701792296707,3.668,3.51206045721844
AUS,2024-01-01,1.37340773365975,3.16656665428797,3.942,2.779712674375959
AUS,2025-01-01,,,4.09,0.0
CHN,2009-01-01,9.40269972778044,-0.728165250932898,4.72,1.4694684816648116
CHN,2010-01-01,10.5962719761682,3.17532475269199,4.53,5.627735386354515
CHN,2011-01-01,9.4613358870736,5.55389892257493,4.55,4.072502270790522
CHN,2012-01-01,7.85617427055587,2.6195243264554,4.58,4.084882484206712
CHN,2013-01-01,7.77872409446717,2.62105001748114,4.6,3.861157713342307
CHN,2014-01-01,7.46190028229434,1.9216416278852,4.63,4.107968626496641
CHN,2015-01-01,6.97878002657477,1.43702380935654,4.65,3.8766031523673528
CHN,2016-01-01,6.77555562837017,2.00000182191943,4.56,3.882725130169828
CHN,2017-01-01,6.8912663621211,1.59313600071435,4.47,4.006774804110054
CHN,2018-01-01,6.75671800166833,2.07479039965576,4.31,3.6896152885749975
CHN,2019-01-01,6.06850235053705,2.89923416358226,4.56,2.8523871144257584
CHN,2020-01-01,2.34018843078414,2.41942189457782,5.0,-2.4536953421055205
CHN,2021-01-01,8.57008513166322,0.981015135544881,4.55,5.72909543857244
CHN,2022-01-01,3.1341888719577,1.9735755573905,4.98,4.053251013030512
CHN,2023-01-01,5.41484330099675,0.23483682889305,4.67,3.51206045721844
CHN,2024-01-01,4.9773565917572,0.218128938439177,4.59,2.779712674375959
CHN,2025-01-01,,,4.615,0.0
DEU,2009-01-01,-5.54455451920674,0.312739007368446,7.88,1.4694684816648116
DEU,2010-01-01,4.13463778522758,1.1038103778926,7.043,5.627735386354515
DEU,2011-01-01,3.75796884489337,2.07517283735874,5.967,4.072502270790522
DEU,2012-01-01,0.463512036709204,2.00848884782956,5.372,4.084882484206712
DEU,2013-01-01,0.396995583779145,1.50472330251876,5.316,3.861157713342307
DEU,2014-01-01,2.18018602168017,0.906794000434245,4.979,4.107968626496641
DEU,2015-01-01,1.66300602334775,0.514426137125456,4.612,3.8766031523673528
DEU,2016-01-01,2.22222216259371,0.491747008445174,4.104,3.882725130169828
DEU,2017-01-01,2.797906720551,1.50949485109628,3.781,4.006774804110054
DEU,2018-01-01,1.13569604599849,1.73216879766941,3.384,3.6896152885749975
DEU,2019-01-01,0.977734697038784,1.44565976888253,3.163,2.8523871144257584
DEU,2020-01-01,-4.13191443239947,0.144877925813981,3.881,-2.4536953421055205
DEU,2021-01-01,3.90999994204108,3.06666666666673,3.594,5.72909543857244
DEU,2022-01-01,1.8092581243061,6.87257438551096,3.137,4.053251013030512
DEU,2023-01-01,-0.869647578573321,5.94643667725823,3.071,3.51206045721844
DEU,2024-01-01,-0.495851897260366,2.2564981433876,3.4,2.779712674375959
DEU,2025-01-01,,,3.711,0.0
GBR,2009-01-01,-4.58740819226323,1.96173173560109,7.683,1.4694684816648116
GBR,2010-01-01,2.26054460931586,2.49265472467065,7.973,5.627735386354515
GBR,2011-01-01,0.851437739020326,3.8561124468282,8.195,4.072502270790522
GBR,2012-01-01,1.52826034721852,2.5732347965453,8.279,4.084882484206712
GBR,2013-01-01,1.71846961308464,2.29166666666659,7.752,3.861157713342307
GBR,2014-01-01,3.16017351468152,1.45112016293279,6.398,4.107968626496641
GBR,2015-01-01,2.14040560033371,0.36804684232536,5.552,3.8766031523673528
GBR,2016-01-01,2.20652020635357,1.0084173681141,4.909,3.882725130169828
GBR,2017-01-01,3.02322219840339,2.55775577557747,4.501,4.006774804110054
GBR,2018-01-01,1.55133095078786,2.29283990345938,4.145,3.6896152885749975
GBR,2019-01-01,1.25629899760824,1.73810460086513,3.657,2.8523871144257584
GBR,2020-01-01,-10.047896637362,0.989486703772491,4.472,-2.4536953421055205
GBR,2021-01-01,8.5431118453255,2.51837109614213,4.864,5.72909543857244
GBR,2022-01-01,5.14970388522993,7.92204883147902,3.768,4.053251013030512
GBR,2023-01-01,0.271650048355255,6.79396706793963,4.025,3.51206045721844
GBR,2024-01-01,1.1264226705118,3.2715729463592,4.361,2.779712674375959
GBR,2025-01-01,,,4.746,0.0
IND,2009-01-01,7.86188883286074,10.8823529411764,7.636,1.4694684816648116
IND,2010-01-01,8.49758470221235,11.9893899204244,7.631,5.627735386354515
IND,2011-01-01,5.24131619937695,8.91179336483371,7.609,4.072502270790522
IND,2012-01-01,5.45638755166587,9.47899691419801,7.645,4.084882484206712
IND,2013-01-01,6.38610640094825,10.0178784746102,7.678,3.861157713342307
IND,2014-01-01,7.41022760508854,6.66565671867899,7.656,4.107968626496641
IND,2015-01-01,7.99625378571471,4.90697344127256,7.629,3.8766031523673528
IND,2016-01-01,8.25630550179086,4.94821634062141,7.611,3.882725130169828
IND,2017-01-01,6.79538341897911,3.32817337461298,7.626,4.006774804110054
IND,2018-01-01,6.45385134497769,3.9388264669163,7.652,3.6896152885749975
IND,2019-01-01,3.87143694070356,3.72950573539129,6.51,2.8523871144257584
IND,2020-01-01,-5.77772470686801,6.62343677628535,7.859,-2.4536953421055205
IND,2021-01-01,9.68959249192875,5.13140747176369,6.38,5.72909543857244
IND,2022-01-01,7.60936497768895,6.69903414079852,4.822,4.053251013030512
IND,2023-01-01,9.19075493028345,5.64914318907925,4.172,3.51206045721844
IND,2024-01-01,6.49476552383821,4.95303550973656,4.173,2.779712674375959
IND,2025-01-01,,,4.219,0.0
JPN,2009-01-01,-5.69323635892741,-1.35283672951719,5.068,1.4694684816648116
JPN,2010-01-01,4.09791791943181,-0.728243207517779,5.102,5.627735386354515
JPN,2011-01-01,0.0238095237995424,-0.27245561610124,4.55,4.072502270790522
JPN,2012-01-01,1.37475099905274,-0.0440645104432602,4.358,4.084882484206712
JPN,2013-01-01,2.00510017681211,0.335037912184741,4.038,3.861157713342307
JPN,2014-01-01,0.296205514141889,2.75922671353253,3.589,4.107968626496641
JPN,2015-01-01,1.56062669680782,0.795279630579839,3.385,3.8766031523673528
JPN,2016-01-01,0.753826745789127,-0.127258844489754,3.132,3.882725130169828
JPN,2017-01-01,1.67533175173359,0.484199796126385,2.822,4.006774804110054
JPN,2018-01-01,0.643391023533141,0.989094598021848,2.467,3.6896152885749975
JPN,2019-01-01,-0.402169200894946,0.46877615938395,2.351,2.8523871144257584
JPN,2020-01-01,-4.16876457146743,-0.024995834027731,2.809,-2.4536953421055205
JPN,2021-01-01,2.69657404187188,-0.233352779398264,2.808,5.72909543857244
JPN,2022-01-01,0.941998775483285,2.49770278172255,2.614,4.053251013030512
JPN,2023-01-01,1.47503481053384,3.26813365933163,2.6,3.51206045721844
JPN,2024-01-01,0.104309021773304,2.73853681635241,2.5,2.779712674375959
JPN,2025-01-01,,,2.451,0.0
MYS,2009-01-01,-1.51352871598714,0.583308405623702,3.62,1.4694684816648116
MYS,2010-01-01,7.42484738326097,1.62285235577035,3.32,5.627735386354515
MYS,2011-01-01,5.29391283414003,3.1744709215131,3.05,4.072502270790522
MYS,2012-01-01,5.47345419253853,1.66357102479206,3.04,4.084882484206712
MYS,2013-01-01,4.69372252557893,2.10501231233612,3.14,3.861157713342307
MYS,2014-01-01,6.00672194558203,3.14299050879095,2.88,4.107968626496641
MYS,2015-01-01,5.09153242155011,2.10438980238359,3.1,3.8766031523673528
MYS,2016-01-01,4.44978139761541,2.09056659525742,3.44,3.882725130169828
MYS,2017-01-01,5.81272240983328,3.87120115774237,3.41,4.006774804110054
MYS,2018-01-01,4.84308697634881,0.884709160571235,3.3,3.6896152885749975
MYS,2019-01-01,4.41318742129586,0.662891865764326,3.33,2.8523871144257584
MYS,2020-01-01,-5.45684658426701,-1.1387021539305,4.54,-2.4536953421055205
MYS,2021-01-01,3.31534954399166,2.47710241465447,4.64,5.72909543857244
MYS,2022-01-01,9.03173723044451,3.37869862549928,3.93,4.053251013030512
MYS,2023-01-01,3.5370638041057,2.48886560125754,3.858,3.51206045721844
MYS,2024-01-01,5.10545921024041,1.834100204499,3.846,2.779712674375959
MYS,2025-01-01,,,3.764,0.0
SGP,2009-01-01,0.127953382778088,0.589142019610516,5.86,1.4694684816648116
SGP,2010-01-01,14.5197497108994,2.82884527612958,4.12,5.627735386354515
SGP,2011-01-01,6.21493416858989,5.25115624639373,3.89,4.072502270790522
SGP,2012-01-01,4.43549759378537,4.58084479423094,3.72,4.084882484206712
SGP,2013-01-01,4.81763099120676,2.36439793742726,3.86,3.861157713342307
SGP,2014-01-01,3.93554027709007,1.03316955857629,3.74,4.107968626496641
SGP,2015-01-01,2.97679931634806,-0.521975611895763,3.79,3.8766031523673528
SGP,2016-01-01,3.74757848792792,-0.529809760375464,4.08,3.882725130169828
SGP,2017-01-01,4.47689915845876,0.576763191179996,4.2,4.006774804110054
SGP,2018-01-01,3.4519759658687,0.438784215129623,3.613,3.6896152885749975
SGP,2019-01-01,1.30804118153127,0.567829988405447,3.1,2.8523871144257584
SGP,2020-01-01,-3.81470885510713,-0.172111865925382,4.1,-2.4536953421055205
SGP,2021-01-01,9.7568044629903,2.31610315765146,4.64,5.72909543857244
SGP,2022-01-01,4.10800021897151,6.13095418919732,3.591,4.053251013030512
SGP,2023-01-01,1.82140694115385,4.83372362825798,3.444,3.51206045721844
SGP,2024-01-01,4.38802362461865,2.38951123595017,2.737,2.779712674375959
SGP,2025-01-01,,,2.818,0.0
USA,2009-01-01,-2.57650022958367,-0.355546266299747,9.254,1.4694684816648116
USA,2010-01-01,2.69519257744442,1.6400434423899,9.633,5.627735386354515
USA,2011-01-01,1.56440685763506,3.156841568622,8.949,4.072502270790522
USA,2012-01-01,2.28911338669843,2.06933726526067,8.069,4.084882484206712
USA,2013-01-01,2.11783009790057,1.46483265562717,7.375,3.861157713342307
